taxon, max_age, min_age
Ambolostoma_baileyi,360.7,353.8
Angioblastus_boliviensis,314.6,306.95
Angioblastus_dotti,314.6,306.95
Asterocrinus_benniei,345.3,345
Brachyschisma_corrugatum,409.1,391.9
Cryptoblastus_melo,360.7,353.8
Codaster_acutus,391.9,318.1
Cribroblastus_cornutus,345,326.4
Cryptoschisma_schulzii,391.9,383.7
Diploblastus_glaber,345,326.4
Decaschisma_pulchellus,428.2,422.9
Decemboblastus_melonoides,360.7,345.3
Deliablastus_cumberlandensis,353.8,345
Deltoblastus_permicus,290.1,279.5
Deltoblastus_batheri,290.1,279.5
Devonoblastus_whiteavesi,388.1,383.7
Eleutherocrinus_cassadayi,391.9,383.7
Elaeacrinus_verneuili,409.1,391.9
Ellipticoblastus_ellipticus,345.3,345
Granatocrinus_granulosus,353.8,345
Globoblastus_norwoodi,360.7,345.3
Hadroblastus_convexus,360.7,342.8
Heteroschisma_alternatus,388.1,383.7
Hydroblastus_herdyi,388.1,383.7
Hyperoblastus_goldringae,388.1,383.7
Iranoblastus_nodosus,314.6,306.9
Lophoblastus_neglectus,353.8,342.8
Leptoschisma_lorae,416,412.3
Mesoblastus_crenulatus,360.7,353.8
Metablastus_wortheni,345,336
Monadoblastus_granulosus,360.7,342.8
Monoschizoblastus_rofei,345.3,345
Nucleocrinus_elegans,388.1,383.7
Notoblastus_brevispinus,295,290.1
Orbiblastus_hoskyni,360.7,353.8
Orophocrinus_stelliformis,376.1,339.4
Pentremitidea_paillettei,391.9,383.7
Perittoblastus_liratus,353.8,345
Phaenoblastus_caryophyllatus,360.7,353.8
Placoblastus_obovatus,388.1,383.7
Pleuroschisma_lycorias,360.7,318.1
Polydeltoideus_enodatus,422.9,416
Poroblastus_granulosis,360.7,345.3
Pterotoblastus_gracilis,290.1,279.5
Pentremites_godoni,339.4,318.1
Pentremites_pulchellus,336,326.4
Pinguiblastus_tushanensis,360.7,345.3
Sagittoblastus_wanneri,290.1,279.5
Schizoblastus_sayi,360.7,345.3
Sinopetaloblastus_jinxingae,376.1,360.7
Tanaoblastus_roemeri,360.7,352.8
Timoroblastus_coronatus_constrictus,290.1,279.5
Tricoelocrinus_woodmani,345,336
Troosticrinus_reinwardti,428.2,418.7
Stephanocrinus_angulatus,428.2,422.9
Cupulocorona_gemmiformis,428.2,426.2
Cheirocystis_fultonensis,460.9,449.5
