taxon	max_age	min_age
Aristocystites_bohemicus	452.25	451.35
Asteroblastus_stellatus	468.00	466.95
Dactylocystis_schmidti	452.15	451.50
Estonocystis_antropoffi	458.20	457.55
Eucystis_angelini	449.40	445.20
Eumorphocystis_multiporata	456.80	455.20
Fungocystites_rarissimus	452.25	451.35
Glyptosphaerites_leuchtenbergi	468.00	464.35
Gomphocystites_indianensis	432.15	431.85
Haplosphaeronis_oblonga	452.75	451.45
Holocystites_cylindricus	433.05	432.10
Holocystites_salmoensis	443.25	443.05
Holocystites_scutellus	433.05	431.85
Paulicystis_densus	432.15	431.85
Pentacystis_gibsoni	432.15	431.85
Pustulocystis_pentax	432.15	431.85
Sphaeronites_rossicum	469.20	469.10
Trematocystis_magniporatus	432.15	431.85
Triamara_ventricosa	433.05	431.85
Tristomiocystis_globosus	381.80	380.75
Stephanocrinus_angulatus	433.05	431.85
Canadocystis_barrandei	458.20	457.20
Hemicosmites_grandis	444.65	443.05
Eurekablastus_rozhnovi	472.25	471.80
Hybocrinus_nitidus	456.00	455.20
Rhopalocystis_destombesi	484.05	482.70
Gogia_spiralis	504.50	502.10
Cheirocystis_fultonensis	451.20	451.15
